Comment,Designator,Footprint,LCSC
100nF,"C3,C4,C5,C6",C_0603_1608Metric,C14663
100k,R3,R_0603_1608Metric,C14675
1uF,C8,C_0603_1608Metric,C15849
4.7uF,C7,C_0603_1608Metric,C19666
10k,"R1,R2",R_0603_1608Metric,C25804
1uF,"C1,C2",C_0805_2012Metric,C28323
RST,SW1,SW_SPST_SKQG_WithoutStem,C318884
MCP1700x-330xxTT,U2,SOT-23,C39051
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D33,D34,D35,D36,D37,D38,D4,D40,D5,D6,D7,D8,D9",D_SOD-123F,C64898
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C80488
2N7002,Q1,SOT-23,C8545
MX_stab,S1,STAB_MX_2u,
MX_stab,S2,STAB_MX_2u,
MX_SW_HS,MX4,SW_MX_HS_1u,
MX_SW_HS,MX23,SW_MX_HS_1u,
MX_SW_HS,MX12,SW_MX_HS_1u,
Conn_01x09_Socket,J6,JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,
MX_SW_HS,MX34,SW_MX_HS_1u,
MX_SW_HS,MX8,SW_MX_HS_1u,
MX_SW_HS,MX40,SW_MX_HS_1u,
MX_SW_HS,MX15,SW_MX_HS_1u,
MX_SW_HS,MX27,SW_MX_HS_1u,
MX_SW_HS,MX1,SW_MX_HS_1u,
MX_SW_HS,MX17,SW_MX_HS_1u,
Conn_01x03_Socket,J3,PinHeader_1x03_P2.54mm_Vertical,
MX_SW_HS,MX14,SW_MX_HS_1u,
MX_SW_HS,MX22,SW_MX_HS_1u,
MX_SW_HS,MX3,SW_MX_HS_1u,
MX_SW_HS,MX28,SW_MX_HS_1u,
MX_SW_HS,MX39,SW_MX_HS_1u,
MX_SW_HS,MX30,SW_MX_HS_1u,
MX_SW_HS,MX29,SW_MX_HS_1u,
JST SH,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
MX_SW_HS,MX35,SW_MX_HS_1u,
MX_SW_HS,MX20,SW_MX_HS_1u,
MX_SW_HS,MX24,SW_MX_HS_1u,
MX_SW_HS,MX26,SW_MX_HS_1u,
MX_SW_HS,MX5,SW_MX_HS_1u,
MX_SW_HS,MX37,SW_MX_HS_1u,
MX_SW_HS,MX7,SW_MX_HS_1u,
Pico EZmate,J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,
MX_SW_HS,MX2,SW_MX_HS_1u,
Conn_01x09_Socket,J5,JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,
MX_SW_HS,MX21,SW_MX_HS_1u,
MX_SW_HS,MX33,SW_MX_HS_1u,
MX_SW_HS,MX38,SW_MX_HS_1u,
MX_SW_HS,MX10,SW_MX_HS_1u,
MX_SW_HS,MX18,SW_MX_HS_1u,
MX_SW_HS,MX32,SW_MX_HS_1u,
MX_SW_HS,MX31,SW_MX_HS_1u,
MX_SW_HS,MX36,SW_MX_HS_1u,
MX_SW_HS,MX11,SW_MX_HS_1u,
MX_SW_HS,MX16,SW_MX_HS_1u,
MX_SW_HS,MX25,SW_MX_HS_1u,
MX_SW_HS,MX9,SW_MX_HS_1u,
MX_SW_HS,MX19,SW_MX_HS_1u,
MX_SW_HS,MX13,SW_MX_HS_1u,
MX_SW_HS,MX6,SW_MX_HS_1u,
