Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,93.51875,-37.89375,90.0,bottom
C2,1uF,C_0805_2012Metric,87.3125,-37.89375,90.0,bottom
C3,100nF,C_0603_1608Metric,80.16875,-77.65875,0.0,bottom
C4,100nF,C_0603_1608Metric,91.28125,-86.51875,180.0,bottom
C5,100nF,C_0603_1608Metric,80.15,-86.51875,0.0,bottom
C6,100nF,C_0603_1608Metric,91.299091,-77.609086,180.0,bottom
C7,4.7uF,C_0603_1608Metric,70.64375,-75.3875,90.0,bottom
C8,1uF,C_0603_1608Metric,76.914812,-81.59488,90.0,bottom
D1,D_Small,D_SOD-123F,63.235561,-35.159733,90.0,bottom
D2,D_Small,D_SOD-123F,85.421634,-32.598148,90.0,bottom
D3,D_Small,D_SOD-123F,107.95,-31.75,90.0,bottom
D4,D_Small,D_SOD-123F,127.0,-31.75,90.0,bottom
D5,D_Small,D_SOD-123F,146.05,-31.75,90.0,bottom
D6,D_Small,D_SOD-123F,166.6875,-31.75,90.0,bottom
D7,D_Small,D_SOD-123F,185.7375,-31.75,90.0,bottom
D8,D_Small,D_SOD-123F,204.7875,-31.75,90.0,bottom
D9,D_Small,D_SOD-123F,227.0125,-32.54375,90.0,bottom
D10,D_Small,D_SOD-123F,249.2375,-35.71875,90.0,bottom
D11,D_Small,D_SOD-123F,65.88125,-53.18125,90.0,bottom
D12,D_Small,D_SOD-123F,86.706202,-51.518434,90.0,bottom
D13,D_Small,D_SOD-123F,107.95,-50.8,90.0,bottom
D14,D_Small,D_SOD-123F,127.0,-50.8,90.0,bottom
D15,D_Small,D_SOD-123F,146.05,-50.8,90.0,bottom
D16,D_Small,D_SOD-123F,166.713163,-50.87699,90.0,bottom
D17,D_Small,D_SOD-123F,185.991623,-50.8,90.0,bottom
D18,D_Small,D_SOD-123F,204.7875,-50.8,90.0,bottom
D19,D_Small,D_SOD-123F,225.736492,-52.387499,90.0,bottom
D20,D_Small,D_SOD-123F,246.6174,-54.99191,90.0,bottom
D21,D_Small,D_SOD-123F,68.505464,-71.4375,90.0,bottom
D22,D_Small,D_SOD-123F,88.10625,-70.64375,90.0,bottom
D23,D_Small,D_SOD-123F,107.95,-69.85,90.0,bottom
D24,D_Small,D_SOD-123F,127.0,-69.85,90.0,bottom
D25,D_Small,D_SOD-123F,146.05,-69.85,90.0,bottom
D26,D_Small,D_SOD-123F,166.6875,-69.85,90.0,bottom
D27,D_Small,D_SOD-123F,185.7375,-69.85,90.0,bottom
D28,D_Small,D_SOD-123F,204.7875,-69.85,90.0,bottom
D29,D_Small,D_SOD-123F,224.322872,-71.362184,90.0,bottom
D30,D_Small,D_SOD-123F,243.980283,-73.725302,90.0,bottom
D31,D_Small,D_SOD-123F,71.138466,-91.560479,90.0,bottom
D33,D_Small,D_SOD-123F,107.95,-88.9,90.0,bottom
D34,D_Small,D_SOD-123F,120.65,-89.69375,90.0,bottom
D35,D_Small,D_SOD-123F,146.05,-88.9,90.0,bottom
D36,D_Small,D_SOD-123F,160.3375,-89.69375,90.0,bottom
D37,D_Small,D_SOD-123F,185.7375,-88.9,90.0,bottom
D38,D_Small,D_SOD-123F,204.7875,-88.9,90.0,bottom
D40,D_Small,D_SOD-123F,241.271408,-92.597194,90.0,bottom
J2,Pico EZmate,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,100.80625,-37.8875,270.0,bottom
J5,Conn_01x09_Socket,JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,132.55625,-56.35625,270.0,bottom
J6,Conn_01x09_Socket,JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,174.625,-56.35625,90.0,bottom
Q1,2N7002,SOT-23,76.2,-77.972814,270.0,bottom
R1,10k,R_0603_1608Metric,75.327312,-81.59488,90.0,bottom
R2,10k,R_0603_1608Metric,69.05625,-75.3875,90.0,bottom
R3,100k,R_0603_1608Metric,72.23125,-75.3875,90.0,bottom
SW1,RST,SW_SPST_SKQG_WithoutStem,69.05625,-80.16875,0.0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,85.725,-81.75625,90.0,bottom
U2,MCP1700x-330xxTT,SOT-23,90.4875,-38.1,180.0,bottom
